ResponseID,Timestamp,CurrentCountry,ZipCode,Gender
0,"0000-00-00 00:00:00","Your Current Country.","Your Current Zip Cod","Your Gender"
1,"0000-00-00 00:00:00",India,273005,"Male"
2,"0000-00-00 00:00:00",India,851129,"Male"
3,"0000-00-00 00:00:00",India,123106,"Female"
4,"0000-00-00 00:00:00",India,834003,"Male"
5,"0000-00-00 00:00:00",India,301019,"Female"
6,"0000-00-00 00:00:00",India,768028,"Female"
7,"0000-00-00 00:00:00",India,301019,"Male"
8,"0000-00-00 00:00:00",India,722207,"Male"
9,"0000-00-00 00:00:00",India,400022,"Male"
10,"0000-00-00 00:00:00",India,201310,"Male"
11,"0000-00-00 00:00:00",India,679121,"Male"
12,"0000-00-00 00:00:00",India,639111,"Male"
13,"0000-00-00 00:00:00",India,136119,"Male"
14,"0000-00-00 00:00:00",India,678104,"Male"
15,"0000-00-00 00:00:00",India,560024,"Female"
16,"0000-00-00 00:00:00",India,560064,"Male"
17,"0000-00-00 00:00:00",India,561203,"Male"
18,"0000-00-00 00:00:00",India,515201,"Male"
19,"0000-00-00 00:00:00",India,211002,"Male"
20,"0000-00-00 00:00:00",India,577002,"Female"
21,"0000-00-00 00:00:00",India,673020,"Female"
22,"0000-00-00 00:00:00",India,301019,"Male"
23,"0000-00-00 00:00:00",India,680613,"Female"
24,"0000-00-00 00:00:00",India,852201,"Male"
25,"0000-00-00 00:00:00",India,731021,"Male"
26,"0000-00-00 00:00:00",India,303007,"Male"
27,"0000-00-00 00:00:00",India,852201,"Female"
28,"0000-00-00 00:00:00","United Arab Emirates",27287,"Female"
29,"0000-00-00 00:00:00",India,700063,"Male"
30,"0000-00-00 00:00:00",India,577528,"Male"
31,"0000-00-00 00:00:00",India,122003,"Male"
32,"0000-00-00 00:00:00",India,122003,"Male"
33,"0000-00-00 00:00:00",India,440002,"Male"
34,"0000-00-00 00:00:00",India,852201,"Female"
35,"0000-00-00 00:00:00",India,465674,"Female"
36,"0000-00-00 00:00:00",India,561203,"Male"
37,"0000-00-00 00:00:00",India,577004,"Female"
38,"0000-00-00 00:00:00",India,826004,"Male"
39,"0000-00-00 00:00:00",India,826004,"Male"
40,"0000-00-00 00:00:00",India,515003,"Male"
41,"0000-00-00 00:00:00",India,496001,"Male"
42,"0000-00-00 00:00:00",India,713104,"Male"
43,"0000-00-00 00:00:00",India,416001,"Male"
44,"0000-00-00 00:00:00",India,826004,"Male"
45,"0000-00-00 00:00:00",India,110088,"Male"
46,"0000-00-00 00:00:00",India,110016,"Female"
47,"0000-00-00 00:00:00",India,131001,"Male"
48,"0000-00-00 00:00:00",India,505001,"Male"
49,"0000-00-00 00:00:00",India,600064,"Female"
50,"0000-00-00 00:00:00",India,600129,"Female"
51,"0000-00-00 00:00:00",India,263126,"Male"
52,"0000-00-00 00:00:00",India,781008,"Male"
53,"0000-00-00 00:00:00",India,785001,"Male"
54,"0000-00-00 00:00:00",India,629004,"Male"
55,"0000-00-00 00:00:00",India,600089,"Male"
56,"0000-00-00 00:00:00",India,500005,"Male"
57,"0000-00-00 00:00:00",India,452007,"Male"
58,"0000-00-00 00:00:00",India,782001,"Male"
59,"0000-00-00 00:00:00",India,248001,"Female"
60,"0000-00-00 00:00:00",India,785001,"Male"
61,"0000-00-00 00:00:00",India,852218,"Male"
62,"0000-00-00 00:00:00",India,411038,"Male"
63,"0000-00-00 00:00:00",India,282007,"Female"
64,"0000-00-00 00:00:00",India,207001,"Male"
65,"0000-00-00 00:00:00",India,425301,"Female"
66,"0000-00-00 00:00:00",India,828122,"Male"
67,"0000-00-00 00:00:00",India,244901,"Male"
68,"0000-00-00 00:00:00",India,641021,"Female"
69,"0000-00-00 00:00:00",India,560060,"Female"
70,"0000-00-00 00:00:00",India,560098,"Female"
71,"0000-00-00 00:00:00",India,457001,"Female"
72,"0000-00-00 00:00:00",India,524412,"Male"
73,"0000-00-00 00:00:00",India,110059,"Female"
74,"0000-00-00 00:00:00",India,425001,"Male"
75,"0000-00-00 00:00:00",India,425001,"Female"
76,"0000-00-00 00:00:00",India,851101,"Male"
77,"0000-00-00 00:00:00",India,431009,"Female"
78,"0000-00-00 00:00:00",India,400022,"Female"
79,"0000-00-00 00:00:00",India,828109,"Male"
80,"0000-00-00 00:00:00",India,425001,"Male"
81,"0000-00-00 00:00:00",India,224001,"Male"
82,"0000-00-00 00:00:00",India,110092,"Female"
83,"0000-00-00 00:00:00",India,500018,"Male"
84,"0000-00-00 00:00:00",India,533342,"Male"
85,"0000-00-00 00:00:00",India,600053,"Female"
86,"0000-00-00 00:00:00",India,425001,"Female"
87,"0000-00-00 00:00:00",India,370110,"Male"
88,"0000-00-00 00:00:00",India,110017,"Female"
89,"0000-00-00 00:00:00",India,574111,"Female"
